Association,Weight
Weed,48
Canals,30
Architecture,16
Museums,14
Tall people,12
Tulips,9
Bicycles,9
Red-lights district,8
Food,6
Netherlands,5
Relationship,4
Rain,4
Night clubs,4
Friends,3
Expensive,3
Ajax,3
Windmills,2
Student life,2
Gezelligheid,2
Wooden shoes,1
Second home,1
Sea,1
No idea,1
Childhood,1
